Locality,Shannon-Weaver entropy
Vad,0.09180316348150726
Valea Ierii,0.11327430349709672
Viisoara,1.196462052264704
Vultureni,0.8310588485697792
Negreni,0.24691340091017924
Municipiul Constanta,0.5373619838916384
Oras Eforie,0.7095983550908899
Municipiul Mangalia,0.6027842129749759
Oras Navodari,0.35068271003608115
Oras Techirghiol,0.8814058481953256
Agigea,0.5362784211054997
23-Aug,0.49734812155712205
Limanu,0.5502498940459751
Oras Ovidiu,0.5738821793371609
Tuzla,0.460437479564225
Oras Cernavoda,0.4434658847046681
Oras Harsova,0.7957491165484579
Municipiul Medgidia,1.0198057351811192
Adamclisi,0.15495722011811952
Albesti,0.20353105455675674
Aliman,0.015633924754095644
