Ani,NumeJudet,0
2014,Bihor,392580.76230267185
2014,Bistrita-Nasaud,90823.3798889191
2014,Botosani,83852.768934201
2014,Braila,314141.906970941
2014,Brasov,931562.9120203987
2014,Buzau,57946.69822328114
2014,Calarasi,37721.76689923922
2014,Caras-Severin,43120.44808398776
2014,Cluj,530600.0719436646
2014,Constanta,2033457.1325630678
2014,Covasna,83926.77857176164
2014,Dambovita,70261.3605316596
2014,Dolj,198444.67165216545
2014,Galati,192412.92810356058
2014,Giurgiu,33611.71510173449
2014,Gorj,110411.27689836088
2014,Harghita,35942.232267693325
2014,Hunedoara,41979.27226235763
2014,Ialomita,37047.877501938936
2014,Iasi,474061.2336482724
2014,Ilfov,24183.640149856918
2014,Maramures,88852.14586530632
2014,Mehedinti,84689.69834612957
2014,Municipiul Bucuresti,4994364.0
2014,Mures,222221.9917488333
2014,Neamt,72935.58817754021
2014,Olt,51440.84610047421
2014,Prahova,170690.90036368146
2014,Salaj,43339.2062108873
2014,Satu Mare,111013.08103767702
2014,Sibiu,455508.4306967608
2014,Suceava,108294.54339098721
2014,Teleorman,11663.054618216298
2014,Timis,638194.1992135842
2014,Tulcea,106921.58290581666
2014,Valcea,130560.5688916207
2014,Vaslui,29567.305226252334
2014,Vrancea,30659.490822046482
2015,Alba,75901.02736103031
2015,Arad,277882.86980730493
2015,Arges,110455.08629379029
2015,Bacau,85887.22273558745
2015,Bihor,455413.66385350603
2015,Bistrita-Nasaud,127700.97383883837
2015,Botosani,86919.36898568597
2015,Braila,356718.32679350715
2015,Brasov,1081964.6674988724
2015,Buzau,53173.5142205582
2015,Calarasi,39851.898438826414
2015,Caras-Severin,66189.26909957995
2015,Cluj,658713.7461411187
2015,Constanta,2221699.7958497973
2015,Covasna,83131.16749098492
2015,Dambovita,69050.31504070152
2015,Dolj,240071.70066452282
2015,Galati,215912.03043062467
2015,Giurgiu,25921.319905374752
2015,Gorj,86736.5846468414
2015,Harghita,48229.15066585754
2015,Hunedoara,57444.292792853215
2015,Ialomita,48417.20152325204
2015,Iasi,553342.7119371111
2015,Ilfov,26223.886682370856
2015,Maramures,112701.04765330584
2015,Mehedinti,136828.92945454546
2015,Municipiul Bucuresti,5736182.0
2015,Mures,275024.54239394236
2015,Neamt,69173.73336574998
2015,Olt,57508.90207749164
2015,Prahova,144233.46972638872
2015,Salaj,36396.31780915079
2015,Satu Mare,104637.7178541544
2015,Sibiu,535397.6064219553
2015,Suceava,131036.09664784942
2015,Teleorman,10600.588777109557
2015,Timis,741036.5369576308
2015,Tulcea,134821.69977837795
2015,Valcea,138649.21150841372
2015,Vaslui,35488.17631944737
2015,Vrancea,45919.52697547002
2016,Alba,72236.23049242912
2016,Arad,280309.2188575099
2016,Arges,113866.76551237192
2016,Bacau,121289.51900110782
2016,Bihor,531175.1113573265
2016,Bistrita-Nasaud,112253.3671099212
2016,Botosani,97947.4461652668
2016,Braila,363344.02435804554
2016,Brasov,1127100.8528474881
2016,Buzau,54352.40942532974
2016,Calarasi,41054.10658991503
2016,Caras-Severin,58428.207082628076
2016,Cluj,772439.4869770015
2016,Constanta,2247779.0482094972
2016,Covasna,78211.34942751663
2016,Dambovita,63438.389455491764
2016,Dolj,219885.12621936807
2016,Galati,220789.66912354276
2016,Giurgiu,26630.440007398684
2016,Gorj,81521.61126152947
2016,Harghita,48883.035791636794
2016,Hunedoara,51081.50383611771
2016,Ialomita,39480.11699077138
2016,Iasi,669439.856041968
2016,Ilfov,35598.712980328
2016,Maramures,113231.1950675502
2016,Mehedinti,158798.39919753047
2016,Municipiul Bucuresti,6299940.0
2016,Mures,272351.88436606404
2016,Neamt,81408.70094138506
2016,Olt,54444.33682934024
2016,Prahova,144643.04703472438
2016,Salaj,34491.02292152052
2016,Satu Mare,88016.05408444718
2016,Sibiu,578269.5704723647
2016,Suceava,111297.45923963057
2016,Teleorman,9562.104619931091
2016,Timis,848078.2673284304
2016,Tulcea,133233.49609057815
2016,Valcea,156281.67438911658
2016,Vaslui,34981.33798174336
2016,Vrancea,41178.652024860974
